CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription,OccurrencePrecinctCode,Collision_ at_Location,Address,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
2024073000997,294434822,brooklyn,I,1.0,SEDN,Passenger vehicle, , ,073,1.0,DUMONT AVE&&E 98 ST,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024073000997,294434822,brooklyn,I,2.0,,,09,Following too closely                                                           ,073,1.0,DUMONT AVE&&E 98 ST,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024073000998,294434823,brooklyn,I,1.0,MCY,Motorcycle, , ,073,1.0,ATLANTIC AVE&&EASTERN PKWY,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024073000999,294434824,brooklyn,I,1.0,SUBN,Sport utility / station wagon,26,Other uninvolved vehicle                                                        ,073,1.0,LINDEN BLVD&&MOTHER GASTON BLVD,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024073000999,294434824,brooklyn,I,2.0,SUBN,Sport utility / station wagon,09,Following too closely                                                           ,073,1.0,LINDEN BLVD&&MOTHER GASTON BLVD,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024073001000,294434825,brooklyn,I,1.0,SUBN,Sport utility / station wagon,04,Driver inattention/distraction                                                  ,073,1.0,LINDEN BLVD&&ROCKAWAY AVE,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024073001000,294434825,brooklyn,I,2.0,SEDN,Passenger vehicle, , ,073,1.0,LINDEN BLVD&&ROCKAWAY AVE,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024073001001,294434826,brooklyn,I,1.0,SUBN,Sport utility / station wagon,17,Traffic control disregarded                                                     ,073,1.0,BROADWAY&&CONWAY ST,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024073001001,294434826,brooklyn,I,2.0,MCY,Motorcycle,04,Driver inattention/distraction                                                  ,073,1.0,BROADWAY&&CONWAY ST,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2024075002409,294434829,brooklyn,I,1.0,SEDN,Passenger vehicle,26,Other uninvolved vehicle                                                        ,075,1.0,LINWOOD ST&&SUTTER AVE,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
