,CollisionID,CollisionKey,Borough,RoadType,VehicleSequenceNumber,VehicleTypeCode,VehicleTypeDescription,ContributingFactorCode,ContributingFactorDescription
8343,2024047001186,295579539,bronx,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8344,2024047001188,295579540,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8345,2024047001188,295579540,bronx,I,2.0,SUBN,Sport utility / station wagon,17,Traffic control disregarded                                                     
8346,2024047001189,295579541,bronx,I,1.0,SUBN,Sport utility / station wagon,04,Driver inattention/distraction                                                  
8347,2024048000950,295581570,bronx,I,1.0,MCY,Motorcycle,04,Driver inattention/distraction                                                  
8348,2024049000894,295581571,bronx,I,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8349,2024046000849,295586810,bronx,I,1.0,SEDN,Passenger vehicle, , 
8350,2024046000849,295586810,bronx,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8351,2024047001155,295586812,bronx,I,1.0,SUBN,Sport utility / station wagon,19,Unsafe speed                                                                    
8352,2024047001155,295586812,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8353,2024047001155,295586812,bronx,I,3.0,SUBN,Sport utility / station wagon, , 
8354,2024047001155,295586812,bronx,I,4.0,PICK,Pick-up truck, , 
8355,2024047001155,295586812,bronx,I,5.0,SUBN,Sport utility / station wagon, , 
8356,2024047001182,295586813,bronx,I,1.0,SEDN,Passenger vehicle,20,Unsafe lane changing                                                            
8357,2024041000844,295587382,bronx,I,1.0,SEDN,Passenger vehicle, , 
8358,2024041000844,295587382,bronx,I,2.0,SUBN,Sport utility / station wagon,04,Driver inattention/distraction                                                  
8359,2024041000850,295587383,bronx,I,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8360,2024041000850,295587383,bronx,I,2.0,BIKE,Bicycle,04,Driver inattention/distraction                                                  
8361,2024041000852,295587384,bronx,I,1.0,BIKE,Bicycle,04,Driver inattention/distraction                                                  
8362,2024041000852,295587384,bronx,I,2.0,LCOM,Large com veh(6 or more tires), , 
8363,2024048000949,295600468,bronx,I,1.0,SEDN,Passenger vehicle, , 
8364,2024048000949,295600468,bronx,I,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
8365,2024048000955,295603139,bronx,I,1.0,BIKE,Bicycle, , 
8366,2024048000955,295603139,bronx,I,2.0,SUBN,Sport utility / station wagon,19,Unsafe speed                                                                    
8367,2024048000956,295603140,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8368,2024048000956,295603140,bronx,I,2.0,LCOM,Large com veh(6 or more tires),04,Driver inattention/distraction                                                  
8369,2024049000892,295603141,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8370,2024049000892,295603141,bronx,I,2.0,SUBN,Sport utility / station wagon,09,Following too closely                                                           
8371,2024050000816,295603142,bronx,I,1.0,SEDN,Passenger vehicle, , 
8372,2024050000816,295603142,bronx,I,2.0,SEDN,Passenger vehicle,19,Unsafe speed                                                                    
8373,2024041000847,295608971,bronx,I,1.0,LCOM,Large com veh(6 or more tires), , 
8374,2024041000847,295608971,bronx,I,2.0,,,17,Traffic control disregarded                                                     
8375,2024049000897,295612258,bronx,I,1.0,PICK,Pick-up truck,04,Driver inattention/distraction                                                  
8376,2024050000819,295615570,bronx,I,1.0,SUBN,Sport utility / station wagon,18,Turning improperly                                                              
8377,2024047001172,295631165,bronx,I,1.0,,,19,Unsafe speed                                                                    
8378,2024042000714,295635081,bronx,I,1.0,SEDN,Passenger vehicle, , 
8379,2024042000714,295635081,bronx,I,2.0,SEDN,Passenger vehicle, , 
8380,2024042000718,295635082,bronx,I,2.0,BIKE,Bicycle, , 
8381,2024046000880,295635084,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8382,2024046000880,295635084,bronx,I,2.0,LCOM,Large com veh(6 or more tires),04,Driver inattention/distraction                                                  
8383,2024047001185,295635085,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8384,2024047001185,295635085,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8385,2024047001185,295635085,bronx,I,3.0,SEDN,Passenger vehicle, , 
8386,2024047001185,295635085,bronx,I,4.0,,,19,Unsafe speed                                                                    
8387,2024047001187,295639852,bronx,I,1.0,SUBN,Sport utility / station wagon,04,Driver inattention/distraction                                                  
8388,2024047001187,295639852,bronx,I,2.0,SUBN,Sport utility / station wagon,13,Passing or lane usage improper                                                  
8389,2024041000851,295644841,bronx,I,1.0,BUS,Bus, , 
8390,2024041000851,295644841,bronx,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8391,2024041000848,295649465,bronx,I,1.0,SEDN,Passenger vehicle, , 
8392,2024047001191,295650038,bronx,I,2.0,MCY,Motorcycle, , 
8393,2024045001093,295664469,bronx,I,1.0,SUBN,Sport utility / station wagon,03,Backing unsafely                                                                
8394,2024045001093,295664469,bronx,I,2.0,SEDN,Passenger vehicle, , 
8395,2024045001093,295664469,bronx,I,3.0,SUBN,Sport utility / station wagon, , 
8396,2024045001099,295664471,bronx,I,1.0,SEDN,Passenger vehicle, , 
8397,2024052001166,295669462,bronx,I,1.0,SEDN,Passenger vehicle, , 
8398,2024052001166,295669462,bronx,I,2.0,,,09,Following too closely                                                           
8399,2024052001171,295669465,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8400,2024052001171,295669465,bronx,I,2.0,,,20,Unsafe lane changing                                                            
8401,2024042000706,295672384,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8402,2024042000706,295672384,bronx,I,2.0,,,29,Passing too closely                                                             
8403,2024042000709,295672385,bronx,I,1.0,MCY,Motorcycle,05,Driver inexperience                                                             
8404,2024042000709,295672385,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8405,2024049000869,295672387,bronx,I,1.0,TAXI,Taxi vehicle,04,Driver inattention/distraction                                                  
8406,2024045001078,295675396,bronx,I,1.0,TAXI,Taxi vehicle, , 
8407,2024045001078,295675396,bronx,I,2.0,SEDN,Passenger vehicle, , 
8408,2024044001120,295677747,bronx,I,1.0,SEDN,Passenger vehicle, , 
8409,2024044001120,295677747,bronx,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8410,2024045001082,295677748,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8411,2024043001375,295681017,bronx,I,1.0,SEDN,Passenger vehicle, , 
8412,2024043001375,295681017,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8413,2024043001378,295681019,bronx,I,1.0,SEDN,Passenger vehicle, , 
8414,2024043001378,295681019,bronx,I,2.0,LCOM,Large com veh(6 or more tires), , 
8415,2024043001380,295681020,bronx,I,1.0,PICK,Pick-up truck, , 
8416,2024043001380,295681020,bronx,I,2.0,SUBN,Sport utility / station wagon,26,Other uninvolved vehicle                                                        
8417,2024044001122,295681021,bronx,I,1.0,LCOM,Large com veh(6 or more tires),12,Passenger distraction                                                           
8418,2024044001122,295681021,bronx,I,2.0,BIKE,Bicycle,13,Passing or lane usage improper                                                  
8419,2024050000773,295681023,bronx,I,1.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8420,2024050000773,295681023,bronx,I,2.0,SUBN,Sport utility / station wagon,05,Driver inexperience                                                             
8421,2024048000947,295684610,bronx,I,1.0,MCY,Motorcycle, , 
8422,2024048000947,295684610,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8423,2024048000948,295684611,bronx,I,1.0,SEDN,Passenger vehicle, , 
8424,2024048000948,295684611,bronx,I,2.0,SEDN,Passenger vehicle,02,Alcohol involvement                                                             
8425,2024048000948,295684611,bronx,I,3.0,SEDN,Passenger vehicle, , 
8426,2024048000957,295684612,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8427,2024048000957,295684612,bronx,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8428,2024041000859,295688415,bronx,I,1.0,SEDN,Passenger vehicle, , 
8429,2024049000895,295692127,bronx,I,1.0,PICK,Pick-up truck, , 
8430,2024047001176,295708457,bronx,I,1.0,LCOM,Large com veh(6 or more tires), , 
8431,2024047001176,295708457,bronx,I,2.0,SEDN,Passenger vehicle,07,Failure to yield right-of-way                                                   
8432,2024044001128,295712799,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8433,2024044001061,295725605,bronx,I,1.0,SEDN,Passenger vehicle, , 
8434,2024044001061,295725605,bronx,I,2.0,SUBN,Sport utility / station wagon,03,Backing unsafely                                                                
8435,2024052001167,295727396,bronx,I,1.0,TAXI,Taxi vehicle, , 
8436,2024052001167,295727396,bronx,I,2.0,SEDN,Passenger vehicle, , 
8437,2024040001029,295731177,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8438,2024040001029,295731177,bronx,I,2.0,SEDN,Passenger vehicle, , 
8439,2024040001064,295733663,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8440,2024040001068,295733664,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8441,2024040001068,295733664,bronx,I,2.0,SEDN,Passenger vehicle, , 
8442,2024044001123,295740780,bronx,I,1.0,SEDN,Passenger vehicle, , 
8443,2024044001123,295740780,bronx,I,2.0,SEDN,Passenger vehicle,09,Following too closely                                                           
8444,2024044001126,295740781,bronx,I,1.0,SUBN,Sport utility / station wagon,18,Turning improperly                                                              
8445,2024044001126,295740781,bronx,I,2.0,SCOM,Small com veh(4 tires), , 
8446,2024041000849,295746170,bronx,I,1.0,SEDN,Passenger vehicle, , 
8447,2024041000849,295746170,bronx,I,2.0,LCOM,Large com veh(6 or more tires),04,Driver inattention/distraction                                                  
8448,2024048000959,295748422,bronx,I,1.0,AMBU,Ambulance, , 
8449,2024047001151,295755278,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8450,2024047001151,295755278,bronx,I,2.0,SUBN,Sport utility / station wagon, , 
8451,2024047001175,295755279,bronx,I,1.0,SEDN,Passenger vehicle,07,Failure to yield right-of-way                                                   
8452,2024047001175,295755279,bronx,I,2.0,MCY,Motorcycle, , 
8453,2024047001193,295756637,bronx,I,1.0,SEDN,Passenger vehicle, , 
8454,2024047001193,295756637,bronx,I,2.0,,,18,Turning improperly                                                              
8455,2024047001192,295758327,bronx,I,1.0,SUBN,Sport utility / station wagon, , 
8456,2024047001192,295758327,bronx,I,2.0,SEDN,Passenger vehicle,20,Unsafe lane changing                                                            
8457,2024046000885,295768945,bronx,I,1.0,BUS,Bus, , 
8458,2024046000885,295768945,bronx,I,2.0,MCY,Motorcycle,13,Passing or lane usage improper                                                  
8459,2024046000888,295768946,bronx,I,1.0,SEDN,Passenger vehicle, , 
8460,2024046000888,295768946,bronx,I,2.0,SEDN,Passenger vehicle, , 
8461,2024046000888,295768946,bronx,I,3.0,SEDN,Passenger vehicle, , 
8462,2024040001063,295769742,bronx,I,1.0,SEDN,Passenger vehicle, , 
8463,2024040001063,295769742,bronx,I,2.0,SCOM,Small com veh(4 tires),28,Aggressive driving/road rage                                                    
8464,2024044001110,295775462,bronx,I,1.0,SEDN,Passenger vehicle, , 
8465,2024044001110,295775462,bronx,I,2.0,SEDN,Passenger vehicle,29,Passing too closely                                                             
8466,2024044001131,295777842,bronx,I,1.0,MCY,Motorcycle,04,Driver inattention/distraction                                                  
8467,2024044001131,295777842,bronx,I,2.0,SEDN,Passenger vehicle,04,Driver inattention/distraction                                                  
8468,2024044001132,295777843,bronx,I,1.0,SEDN,Passenger vehicle, , 
8469,2024044001132,295777843,bronx,I,2.0,SEDN,Passenger vehicle,03,Backing unsafely                                                                
8470,2024049000900,295779569,bronx,I,1.0,PICK,Pick-up truck, , 
8471,2024049000900,295779569,bronx,I,2.0,,,04,Driver inattention/distraction                                                  
8472,2024049000901,295782272,bronx,I,1.0,SUBN,Sport utility / station wagon,28,Aggressive driving/road rage                                                    
